date,time,slave_id,sht31_temperature_adjust_signed,sht31_humidity_adjust_signed,fan_interval_time_minute,bh1750_light_adjust_signed,sht31_temperature_adjust_float,sht31_humidity_adjust_float,reserve,bh1750_light_adjust_float
2022-09-11,18:32:04,131,276,823,0,34,27.662315368652344,82.30106353759766,0.0,34.166664123535156
2022-09-11,18:32:05,131,276,823,0,34,27.662315368652344,82.30106353759766,0.0,34.166664123535156
2022-09-11,18:32:06,131,276,823,0,34,27.662315368652344,82.30106353759766,0.0,34.166664123535156
2022-09-11,18:32:07,131,276,823,0,34,27.662315368652344,82.30106353759766,0.0,34.166664123535156
2022-09-11,18:32:08,131,276,823,0,34,27.662315368652344,82.30106353759766,0.0,34.166664123535156
2022-09-11,18:32:09,131,276,823,0,34,27.662315368652344,82.30106353759766,0.0,34.166664123535156
2022-09-11,18:32:10,131,276,823,0,34,27.662315368652344,82.30106353759766,0.0,34.166664123535156
2022-09-11,18:32:12,131,276,823,0,34,27.662315368652344,82.3605728149414,0.0,34.166664123535156
2022-09-11,18:32:13,131,276,823,0,34,27.662315368652344,82.3605728149414,0.0,34.166664123535156
2022-09-11,18:32:14,131,276,823,0,34,27.662315368652344,82.3605728149414,0.0,34.166664123535156
